,Theta,O_eff
0,0.0,132.57072688353588
1,10.0,134.9301966929933
2,20.0,125.95388312874962
3,30.0,105.9930473677451
4,40.0,81.87194619754801
5,50.0,60.31469076515667
6,60.0,46.32175945873722
7,70.0,38.9090421640372
8,80.0,34.10182433856702
9,90.0,32.016375613444
10,100.0,32.68944594570813
11,110.0,34.537476926411436
12,120.0,40.500038745055484
13,130.0,53.71422627746765
14,140.0,69.99170431620517
15,150.0,90.89873768877797
16,160.0,108.19992220950888
17,170.0,122.15791623707804
18,180.0,132.67697629043923
19,190.0,133.92895577409672
20,200.0,125.47752302002705
21,210.0,105.90636039743487
22,220.0,81.75009236941338
23,230.0,60.63752207855191
24,240.0,46.205582224026045
25,250.0,38.95952409951256
26,260.0,33.986665846403525
27,270.0,32.00350478163239
28,280.0,32.531519736571695
29,290.0,34.79470123200407
30,300.0,40.35336259431624
31,310.0,53.79040660719977
32,320.0,69.54383946079517
33,330.0,90.47407922315519
34,340.0,108.5561376967024
35,350.0,121.46018755685213
